character,short description,tags,LLM description
🏌,PERSON GOLFING,['golf' 'sport' 'recreation' 'outdoor' 'leisure' 'activity' 'game'],"This emoji represents a person golfing, showing a person holding a golf club and standing on a green grass field, often used to express participation in the sport or recreational activity of golf."
🏌🏿,PERSON GOLFING DARK SKIN TONE,['golf' 'sports' 'sportsmanship' 'recreation' 'dark skin tone' 'enjoyment'],"This emoji represents a person golfing with a dark skin tone, showcasing a popular recreational activity and sportsmanship, often used to express enjoyment or to represent the sport of golf."
🏌🏻,PERSON GOLFING LIGHT SKIN TONE,['golf' 'sport' 'recreation' 'outdoor' 'light skin tone'],"This emoji represents a person golfing with a light skin tone, showcasing a popular sport that combines skill, strategy, and outdoor recreation."
🏌🏾,PERSON GOLFING MEDIUM-DARK SKIN TONE,"['golf' 'sport' 'recreation' 'medium-dark skin tone' 'outdoor activity'
 'leisure']","This emoji represents a person golfing with a medium-dark skin tone, showcasing a popular recreational activity that involves hitting a small ball with a club into a series of holes on a course."
🏌🏼,PERSON GOLFING MEDIUM-LIGHT SKIN TONE,"['golf' 'sport' 'recreation' 'medium-light skin tone' 'outdoor activity'
 'leisure']","This emoji represents a person golfing with a medium-light skin tone, showcasing a popular recreational activity that involves hitting a small ball with a club into a series of holes on a course."
🏌🏽,PERSON GOLFING MEDIUM SKIN TONE,['golf' 'sport' 'recreation' 'medium skin tone' 'outdoor' 'leisure'],"This emoji represents a person golfing with a medium skin tone, showcasing a popular recreational activity that involves hitting a small ball into a series of holes using various clubs."
🛌,PERSON IN BED,['bed' 'rest' 'relaxation' 'sleep' 'lying down' 'comfort' 'home'],"This emoji represents a person lying in bed, often used to convey rest, relaxation, or sleep."
🛌🏿,PERSON IN BED DARK SKIN TONE,['bed' 'rest' 'relaxation' 'sleep' 'dark skin tone' 'person' 'lying down'],"This emoji represents a person lying in bed with a dark skin tone, often used to convey relaxation, rest, or the concept of sleeping or unwinding after a long day."
🛌🏻,PERSON IN BED LIGHT SKIN TONE,['bed' 'person' 'relaxation' 'sleep' 'rest' 'light skin tone'],"This emoji represents a person lying in bed, with a light skin tone, often used to convey relaxation, sleep, or restful moments."
🛌🏾,PERSON IN BED MEDIUM-DARK SKIN TONE,['bed' 'person' 'relaxation' 'sleep' 'rest' 'medium-dark skin tone'],"This emoji represents a person lying in bed with a medium-dark skin tone, often used to convey relaxation, sleep, or restful moments."
🛌🏼,PERSON IN BED MEDIUM-LIGHT SKIN TONE,['bed' 'rest' 'relaxation' 'sleep' 'medium-light skin tone'],"This emoji represents a person lying in bed, often used to convey the concept of rest, relaxation, or sleep, with a medium-light skin tone variation."
🛌🏽,PERSON IN BED MEDIUM SKIN TONE,"['bed' 'rest' 'relaxation' 'sleep' 'medium skin tone' 'person'
 'lying down']","This emoji represents a person lying in bed, often used to convey rest, relaxation, or sleep, with a medium skin tone variation indicating a range of complexions."
🧘,PERSON IN LOTUS POSITION,"['lotus position' 'meditation' 'peace' 'balance' 'spirituality'
 'relaxation' 'mindfulness']","This emoji represents a person in the lotus position, a meditation posture symbolizing peace, balance, and spiritual enlightenment, often used to express relaxation or mindfulness."
🧘🏿,PERSON IN LOTUS POSITION DARK SKIN TONE,"['lotus position' 'meditation' 'relaxation' 'mindfulness'
 'spiritual growth' 'inner peace' 'dark skin tone']","This emoji represents a person in the lotus position with a dark skin tone, often used to convey meditation, relaxation, and mindfulness, as well as to symbolize spiritual growth and inner peace."
🧘🏻,PERSON IN LOTUS POSITION LIGHT SKIN TONE,"['lotus position' 'meditation' 'relaxation' 'mindfulness' 'calm' 'peace'
 'light skin tone']","This emoji represents a person in the lotus position, with a light skin tone, symbolizing meditation, relaxation, and mindfulness, often used to express a calm and peaceful state of mind."
🧘🏾,PERSON IN LOTUS POSITION MEDIUM-DARK SKIN TONE,"['lotus position' 'meditation' 'relaxation' 'mindfulness' 'calm' 'peace'
 'medium-dark skin tone']","This emoji represents a person in the lotus position, with a medium-dark skin tone, symbolizing meditation, relaxation, and mindfulness, often used to express a calm and peaceful state of mind."
🧘🏼,PERSON IN LOTUS POSITION MEDIUM-LIGHT SKIN TONE,"['lotus position' 'meditation' 'relaxation' 'mindfulness' 'calm' 'peace'
 'medium-light skin tone']","This emoji represents a person in the lotus position, with a medium-light skin tone, symbolizing meditation, relaxation, and mindfulness, often used to express a calm and peaceful state of mind."
🧘🏽,PERSON IN LOTUS POSITION MEDIUM SKIN TONE,"['lotus position' 'meditation' 'peace' 'balance' 'spirituality'
 'medium skin tone']","This emoji represents a person in the lotus position, a meditation posture symbolizing peace, balance, and spiritual enlightenment, with a medium skin tone."
🧑‍🦽,PERSON IN MANUAL WHEELCHAIR,"['wheelchair' 'mobility' 'disability' 'support' 'understanding'
 'accessibility' 'person']","This emoji represents a person seated in a manual wheelchair, often used to express support, understanding, or to represent individuals with mobility challenges."
🧑🏿‍🦽,PERSON IN MANUAL WHEELCHAIR DARK SKIN TONE,"['person' 'wheelchair' 'disability' 'support' 'representation'
 'dark skin tone' 'manual wheelchair']","This emoji represents a person with dark skin tone using a manual wheelchair, often used to express support, empathy, or representation for individuals with disabilities or those who use wheelchairs."
🧑‍🦽‍➡️,PERSON IN MANUAL WHEELCHAIR FACING RIGHT,"['wheelchair' 'accessibility' 'mobility' 'support' 'empathy' 'disability'
 'person']","This emoji represents a person standing in a manual wheelchair facing right, often used to convey support, accessibility, or to express empathy for those with mobility challenges."
🧑‍🦽‍➡,PERSON IN MANUAL WHEELCHAIR FACING RIGHT,"['wheelchair' 'accessibility' 'mobility' 'support' 'empathy' 'disability'
 'person']","This emoji represents a person standing in a manual wheelchair facing right, often used to convey support, accessibility, or to express empathy for those with mobility challenges."
🧑🏿‍🦽‍➡️,PERSON IN MANUAL WHEELCHAIR FACING RIGHT DARK SKIN TONE,"['person' 'wheelchair' 'accessibility' 'support' 'inclusion'
 'dark skin tone' 'facing right']","This emoji represents a person with dark skin tone using a manual wheelchair, facing right, symbolizing accessibility, support, and inclusion."
🧑🏿‍🦽‍➡,PERSON IN MANUAL WHEELCHAIR FACING RIGHT DARK SKIN TONE,"['wheelchair' 'manual wheelchair' 'dark skin tone' 'mobility' 'support'
 'empathy' 'disability' 'accessibility']","This emoji represents a person with dark skin tone using a manual wheelchair, facing right, often used to express support, empathy, or to represent individuals with mobility challenges."
🧑🏻‍🦽‍➡️,PERSON IN MANUAL WHEELCHAIR FACING RIGHT LIGHT SKIN TONE,"['wheelchair' 'accessibility' 'inclusion' 'mobility' 'support'
 'light skin tone' 'person']","This emoji represents a person with light skin tone using a manual wheelchair, facing to the right, symbolizing accessibility, support, and inclusion for individuals with mobility challenges."
🧑🏻‍🦽‍➡,PERSON IN MANUAL WHEELCHAIR FACING RIGHT LIGHT SKIN TONE,"['wheelchair' 'disability' 'accessibility' 'support' 'representation'
 'light skin tone' 'facing right']","This emoji represents a person with light skin tone using a manual wheelchair, facing to the right, often used to convey support, empathy, or representation for individuals with disabilities or those who use wheelchairs."
🧑🏾‍🦽‍➡️,PERSON IN MANUAL WHEELCHAIR FACING RIGHT MEDIUM-DARK SKIN TONE,"['manual wheelchair' 'mobility' 'disability' 'support' 'representation'
 'medium-dark skin tone' 'person' 'facing right']","This emoji represents a medium-dark skin tone person seated in a manual wheelchair facing right, often used to convey support, empathy, or representation for individuals with mobility challenges."
🧑🏾‍🦽‍➡,PERSON IN MANUAL WHEELCHAIR FACING RIGHT MEDIUM-DARK SKIN TONE,"['manual wheelchair' 'mobility' 'disability' 'support' 'representation'
 'medium-dark skin tone' 'person' 'facing right']","This emoji represents a medium-dark skin tone person seated in a manual wheelchair facing right, often used to convey support, empathy, or representation for individuals with mobility challenges."
🧑🏼‍🦽‍➡️,PERSON IN MANUAL WHEELCHAIR FACING RIGHT MEDIUM-LIGHT SKIN TONE,"['manual wheelchair' 'accessibility' 'support' 'inclusion'
 'medium-light skin tone' 'person' 'disability' 'facing right']","This emoji represents a medium-light skin tone person facing right, standing in a manual wheelchair, symbolizing accessibility, support, and inclusion."
🧑🏼‍🦽‍➡,PERSON IN MANUAL WHEELCHAIR FACING RIGHT MEDIUM-LIGHT SKIN TONE,"['manual wheelchair' 'mobility' 'disability' 'support' 'representation'
 'medium-light skin tone' 'person' 'facing right']","This emoji represents a medium-light skin tone person standing in a manual wheelchair facing right, often used to convey support, empathy, or representation for individuals with mobility challenges."
🧑🏽‍🦽‍➡️,PERSON IN MANUAL WHEELCHAIR FACING RIGHT MEDIUM SKIN TONE,"['manual wheelchair' 'mobility' 'disability' 'support' 'representation'
 'medium skin tone' 'person' 'facing right']","This emoji represents a person with medium skin tone who is in a manual wheelchair facing right, often used to express support, empathy, or representation for individuals with mobility challenges."
🧑🏽‍🦽‍➡,PERSON IN MANUAL WHEELCHAIR FACING RIGHT MEDIUM SKIN TONE,"['manual wheelchair' 'mobility' 'disability' 'support' 'empathy'
 'accessibility' 'person' 'medium skin tone']","This emoji represents a person with medium skin tone who is in a manual wheelchair facing right, often used to express support, empathy, or to represent individuals with mobility challenges."
🧑🏻‍🦽,PERSON IN MANUAL WHEELCHAIR LIGHT SKIN TONE,"['person' 'manual wheelchair' 'light skin tone' 'mobility' 'support'
 'disability' 'accessibility']","This emoji represents a person with light skin tone using a manual wheelchair, often used to express support, understanding, or to represent individuals with mobility challenges."
🧑🏾‍🦽,PERSON IN MANUAL WHEELCHAIR MEDIUM-DARK SKIN TONE,"['manual wheelchair' 'disability' 'mobility' 'support' 'empathy'
 'medium-dark skin tone' 'person']","This emoji represents a person with medium-dark skin tone using a manual wheelchair, often used to express support, empathy, or to represent individuals with mobility challenges."
🧑🏼‍🦽,PERSON IN MANUAL WHEELCHAIR MEDIUM-LIGHT SKIN TONE,"['manual wheelchair' 'disability' 'mobility' 'support' 'empathy'
 'medium-light skin tone' 'person']","This emoji represents a person with medium-light skin tone using a manual wheelchair, often used to express support, empathy, or to represent individuals with mobility challenges."
🧑🏽‍🦽,PERSON IN MANUAL WHEELCHAIR MEDIUM SKIN TONE,"['manual wheelchair' 'disability' 'mobility' 'support' 'empathy'
 'accessibility' 'person' 'medium skin tone']","This emoji represents a person with medium skin tone using a manual wheelchair, often used to express support, empathy, or to represent individuals with mobility challenges."
🧑‍🦼,PERSON IN MOTORIZED WHEELCHAIR,"['wheelchair' 'mobility' 'accessibility' 'support' 'disability'
 'assistive technology' 'health']","This emoji represents a person in a motorized wheelchair, often used to express support, accessibility, or to represent individuals with mobility challenges."
🧑🏿‍🦼,PERSON IN MOTORIZED WHEELCHAIR DARK SKIN TONE,"['person' 'wheelchair' 'dark skin tone' 'accessibility' 'disability'
 'mobility' 'support']","This emoji represents a person of dark skin tone using a motorized wheelchair, often used to express accessibility, disability, or support for those with mobility challenges."
